OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18020407,2/28/18,18:28:00,2/28/18,18:54:00,9999V,,Closed/Cleared,,ONCAMRES,Z1,Family Apartments,251,,Tenth Street  NW,,,1
18020389,2/26/18,15:40:00,2/26/18,17:19:00,9999W,,Closed/Cleared,Cleared by Arrest,PUB,Z1,Ferst Drive  NW and Cherry Street  NW,,,,33.77884514,-84.39847658,1
18020401,2/28/18,2:26:00,2/28/18,3:09:00,9999F,,Further Investigation,,ONCAMRES,Z2,NAA South  191  Z2,120,,North Avenue NW,33.76932,-84.39182,1
18030430,3/2/18,17:45:00,3/2/18,17:46:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Chandler Stadium,255,,Ferst Drive NW,,,1
18030435,3/3/18,2:15:00,3/3/18,6:00:00,3605,Indecent Exposure,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Parking Office (PTS),828,,West Peachtree Street  NW,,,1
18020391,2/26/18,15:00:00,2/26/18,15:30:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z4,Student Health Center,740,,Ferst Drive NW,,,1
18020412,2/28/18,22:04:00,2/28/18,22:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z4,Maulding Residence Hall,501,,Sixth Street  NW,33.777007,-84.405706,1
18020295,2/17/18,2:42:00,2/17/18,3:25:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAMRES,Z4,Freeman Residence Hall,835,,McMillan Street NW,,,1
18020335,2/21/18,19:29:00,2/21/18,20:56:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z4,,,,Northside Drive NW @ 10th Street NW,,,1
18020390,2/26/18,14:30:00,2/26/18,14:40:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z3,Student Center,351,,Ferst Drive NW,33.77413608,-84.39881802,1
18010042,1/10/18,9:30:00,1/10/18,9:31:00,1313,Simple Assault/Battery,Inactive,,NONCAM,Z2,,155,,North Avenue NW,,,1
18010077,1/8/18,14:30:00,1/16/18,16:46:00,2605,Fraud - Illegal Use of Credit/Financial Transaction Cards,Closed/Cleared,,ONCAM,Z1,,,,,,,1
18010153,1/28/18,3:15:00,1/28/18,3:29:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,PUB,Z1,Ferst Drive  NW @ Fowler Street  NW,,,,,,1
18010173,1/31/18,10:00:00,1/31/18,10:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Campus Recreation Center,750,,Ferst Drive  NW,,,1
18020185,2/1/18,17:40:00,2/1/18,18:35:00,9999V,,Further Investigation,,PUB,Z2,,,,North Avenue @ Techwood Drive NW,,,1
18020236,2/9/18,22:32:00,2/9/18,22:50:00,3562,Marijuana - Possession of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z1,Graduate Living Center,301,,Tenth Street NW,,,1
18020281,2/16/18,4:38:00,2/16/18,4:38:00,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCLERY,OFFCAM,Westin Hotel,210,,Peachtree Street NW,,,1
18020294,2/17/18,2:17:00,2/17/18,2:45:00,5499,Traffic Offense (describe offense),Closed/Cleared,,PUB,OFFCAM,Fourteenth Street  NW @ Techwood Drive  NW,,,,,,1
18020404,2/7/18,18:00:00,2/7/18,19:00:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z1,Ford Envir. Science & Technology,311,,Ferst Drive NW,,,1
18TEST,2/14/18,21:30:00,2/14/18,21:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,Cleared by Arrest,PUB,OFFCAM,,,,,,,2
18010008,1/2/18,18:54:00,1/2/18,18:54:00,3562,Marijuana - Possession of,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Techwood Drive,,,Techwood Drive / Bobby Dodd Way,,,1
18010031,1/9/18,11:20:00,1/9/18,12:00:00,2310,Larceny - From Mail ,Inactive,,ONCAM,Z2,Barnes and Noble Bookstore,48,,Fifth Street NW,33.77668,-84.38863,1
18010086,1/13/18,8:30:00,1/13/18,18:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,NAA North Parking Deck   191   Z2,120,,North Avenue NW,33.7706,-84.391865,1
18010128,1/24/18,17:48:00,1/24/18,19:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Bobby Dodd Stadium,155,,North Avenue NW,33.771865,-84.393316,1
18010148,1/27/18,10:39:00,1/27/18,11:15:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAMRES,Z1,Family Apartments   180   Z1,251,,Tenth Street NW,33.78238002,-84.39595556,1
18010169,1/29/18,0:00:00,1/30/18,22:13:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z2,Edge Athletic Center,150,,Bobby Dodd Way NW,,,1
18020199,1/25/18,9:00:00,2/3/18,12:53:00,2317,Larceny - Bicycle,Inactive,,ONCAM,Z2,,281,,Ferst Drive,33.77343233,-84.39100012,1
18020201,2/3/18,17:45:00,2/3/18,18:01:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,Ferst Drive  NW @ Atlantic Drive  NW,,,,,,1
18020221,2/7/18,19:04:00,2/7/18,19:09:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,O'Keefe Building,151,,Sixth Street  NW,,,1
18020241,2/11/18,2:59:00,2/11/18,3:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z2,Techwood Drive NW @ North Avenue NW,,,,,,1
18020358,2/23/18,13:00:00,12/23/18,13:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Gilbert Price Library,266,,Fourth Street  NW,,,1
18030416,3/1/18,10:57:00,3/1/18,10:57:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive NW,33.77413608,-84.39881802,1
